국가별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
브루나이,1.27,1.37,1.38,1.38,1.35,1.36,1.38,1.34,1.38,1.34
사모아,2.33,2.56,2.56,2.55,2.59,2.65,2.66,2.56,2.69,2.74
사우디아라비아,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
산마리노,0.75,0.90,0.90,0.89,0.85,0.89,0.88,0.85,0.95,0.92
상투메프린시페,18.47,22.09,22.15,21.74,20.75,21.88,21.51,20.71,23.29,22.66
세네갈,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
세르비아,88.41,108.81,111.28,107.76,100.18,105.25,103.16,99.40,111.66,108.40
세이셸,12.75,13.31,13.32,13.65,13.91,14.03,17.62,16.92,14.27,14.02
세인트루시아,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
세인트빈센트그레나딘,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
세인트키츠네비스,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
소말리아,20230.93,22254.24,23061.78,23097.99,-,-,-,-,-,-
솔로몬제도,7.38,7.91,7.95,7.89,7.95,8.17,8.21,8.03,8.16,8.38
수단,5.74,6.03,6.21,6.68,24.33,45.77,54.00,370.79,546.76,-
수리남,3.30,3.42,6.23,7.49,7.46,7.46,9.31,18.24,24.71,36.78
스리랑카,130.56,135.86,145.58,152.45,162.46,178.74,185.59,198.76,-,-
스웨덴,6.86,8.43,8.56,8.55,8.69,9.46,9.21,8.58,10.11,10.61
스위스,0.92,0.96,0.99,0.98,0.98,0.99,0.94,0.91,0.95,0.90
시리아,154.13,237.03,460.28,492.61,436.50,436.50,877.95,1256.00,2505.75,-
싱가포르,1.27,1.37,1.38,1.38,1.35,1.36,1.38,1.34,1.38,1.34
아랍에미리트,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
아루바,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
아르메니아,415.92,477.92,480.49,482.72,482.99,480.45,489.01,503.77,435.67,392.48
아르헨티나,8.08,9.23,14.76,16.56,28.09,48.15,70.54,94.99,130.62,296.26
아시아,,,,,,,,,,
아이슬란드,116.77,131.92,120.81,106.84,108.30,122.61,135.42,126.99,135.28,137.94
아이티,45.22,50.71,63.34,64.77,68.03,88.81,93.51,89.23,115.63,141.04
아제르바이잔,0.78,1.02,1.60,1.72,1.70,1.70,1.70,1.70,1.70,1.70
아프가니스탄,57.25,61.14,67.87,68.03,72.08,77.74,76.81,-,-,-
아프리카,,,,,,,,,,
안길라,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
알바니아,105.48,125.96,124.14,119.10,107.99,109.85,108.65,103.52,113.04,100.65
알제리,80.58,100.69,109.44,110.97,116.59,119.35,126.78,135.06,141.99,135.84
앙골라,98.30,120.06,163.66,165.92,252.86,364.83,578.26,631.44,460.57,685.02
앤티가바부다,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
에리트레아,15.38,15.38,15.35,15.08,15.08,15.08,15.08,15.08,15.08,15.08
에스와티니,10.85,12.76,14.71,13.32,13.23,14.45,16.47,14.78,16.36,18.45
에콰도르,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
에티오피아,19.59,20.58,21.73,23.87,27.43,29.07,34.93,43.73,51.76,54.60
엘살바도르,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
영국,0.61,0.65,0.74,0.78,0.75,0.78,0.78,0.73,0.81,0.80
예멘,214.89,230.83,283.90,282.20,214.89,486.73,743.01,1028.11,1115.00,1355.12
